fen,move_uci
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5
rnbqkbnr/pppp1ppp/8/4p3/4P3/5Q2/PPPP1PPP/RNB1KBNR b KQkq - 1 2,d8h4
rnb1kbnr/pppp1ppp/8/4p3/2B1P2q/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 3 3,c7c5
rnb1kbnr/pp1p1Qpp/8/2p1p3/2B1P2q/8/PPPP1PPP/RNB1K1NR b KQkq - 0 4,e8d8
rnbk1Qnr/pp1p2pp/8/2p1p3/2B1P2q/8/PPPP1PPP/RNB1K1NR b KQ - 0 5,d8c7
rnb3nr/ppkp2pp/8/2Q1p3/2B1P2q/8/PPPP1PPP/RNB1K1NR b KQ - 0 6,c7d8
rnbk2nr/pp1p2pp/8/4Q3/2B1P2q/8/PPPP1PPP/RNB1K1NR b KQ - 0 7,d7d6
rnbk2nr/pp4pp/3Q4/8/2B1P2q/8/PPPP1PPP/RNB1K1NR b KQ - 0 8,d8e8
rnb1k1nr/pp4pp/3Q4/1B6/4P2q/8/PPPP1PPP/RNB1K1NR b KQ - 2 9,e8f7
rnb3nr/pp3kpp/3Q4/1B6/4P2q/6P1/PPPP1P1P/RNB1K1NR b KQ - 0 10,h4e4
rnb3nr/pp3kpp/3Q4/1B6/4q3/6P1/PPPP1P1P/RNBK2NR b - - 1 11,e4h1
rnb3nr/pp3kpp/3Q4/8/2B5/6P1/PPPP1P1P/RNBK2Nq b - - 1 12,c8e6
rn4nr/pp3kpp/4Q3/8/2B5/6P1/PPPP1P1P/RNBK2Nq b - - 0 13,f7f8
rn3knr/pp4pp/4Q3/3B4/8/6P1/PPPP1P1P/RNBK2Nq b - - 2 14,h1g1
rn3knr/pp4pp/4Q3/3B4/8/6P1/PPPPKP1P/RNB3q1 b - - 1 15,g1c1
rn3knr/pp4pp/8/3B1Q2/8/6P1/PPPPKP1P/RNq5 b - - 1 16,f8e8
rn2k1nr/pp4pp/8/3BQ3/8/6P1/PPPPKP1P/RNq5 b - - 3 17,e8d7
rn4nr/pp1k2pp/8/3BQ3/6P1/8/PPPPKP1P/RNq5 b - - 0 18,g8e7
rn5r/pp1knBpp/8/4Q3/6P1/8/PPPPKP1P/RNq5 b - - 2 19,e7c6
rn5r/pp1k1BQp/2n5/8/6P1/8/PPPPKP1P/RNq5 b - - 0 20,c6d4
rn5r/pp1k1BQp/8/8/3n2P1/3K4/PPPP1P1P/RNq5 b - - 2 21,d4c2
rn5Q/pp1k1B1p/8/8/6P1/3K4/PPnP1P1P/RNq5 b - - 0 22,c2a1
rn5Q/pp1k1B1p/8/8/6P1/2NK4/PP1P1P1P/n1q5 b - - 1 23,a7a5
rn4Q1/1p1k1B1p/8/p7/6P1/2NK4/PP1P1P1P/n1q5 b - - 1 24,a5a4
rn4Q1/1p1k3p/4B3/8/p5P1/2NK4/PP1P1P1P/n1q5 b - - 1 25,d7c6
rn4Q1/1p5p/2k1B3/8/N5P1/3K4/PP1P1P1P/n1q5 b - - 0 26,a8a4
1Q6/1p5p/2k1B3/8/r5P1/3K4/PP1P1P1P/n1q5 b - - 0 27,a4b4
1Q6/1p5p/2k1B3/6P1/1r6/3K4/PP1P1P1P/n1q5 b - - 0 28,b7b5
7Q/7p/2k1B3/1p4P1/1r6/3K4/PP1P1P1P/n1q5 b - - 1 29,b4b2
8/7Q/2k1B3/1p4P1/8/3K4/Pr1P1P1P/n1q5 b - - 0 30,b5b4
8/7Q/2k1B1P1/8/1p6/3K4/Pr1P1P1P/n1q5 b - - 0 31,b2d2
8/7Q/2k1B1P1/8/1p2K3/8/P2r1P1P/n1q5 b - - 1 32,b4b3
8/7Q/2k1B1P1/8/4K3/1P6/3r1P1P/n1q5 b - - 0 33,d2b2
8/6PQ/2k1B3/8/4K3/1P6/1r3P1P/n1q5 b - - 0 34,b2b3
8/6PQ/2k5/8/4K3/1B6/5P1P/n1q5 b - - 0 35,a1b3
6Q1/7Q/2k5/8/4K3/1n6/5P1P/2q5 b - - 0 36,c1c4
6Q1/7Q/2k5/4K3/2q5/1n6/5P1P/8 b - - 2 37,c4d5
8/7Q/2k5/3QK3/8/1n6/5P1P/8 b - - 0 38,c6b6
8/8/1k6/3QK3/8/1n6/2Q2P1P/8 b - - 2 39,b6a6
8/8/k1Q5/4K3/8/1n6/2Q2P1P/8 b - - 4 40,a6a5
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,e7e5
rnbqkbnr/pppp1ppp/8/4p3/8/3P1N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,f8b4
rnbqk1nr/pppp1ppp/8/4p3/1b6/3P1N2/PPPBPPPP/RN1QKB1R b KQkq - 3 3,b4d2
rnbqk1nr/pppp1ppp/8/4p3/8/3P1N2/PPPNPPPP/R2QKB1R b KQkq - 0 4,c7c5
rnbqk1nr/pp1p1ppp/8/2p1N3/8/3P4/PPPNPPPP/R2QKB1R b KQkq - 0 5,d8a5
rnb1k1nr/pp1p1ppp/8/q1p1N3/8/2PP4/PP1NPPPP/R2QKB1R b KQkq - 0 6,b8c6
r1b1k1nr/pp1p1ppp/2n5/q1p5/2N5/2PP4/PP1NPPPP/R2QKB1R b KQkq - 2 7,a5b5
r1b1k1nr/pp1p1ppp/2n5/1qp5/P1N5/2PP4/1P1NPPPP/R2QKB1R b KQkq - 0 8,b5b2
r1b1k1nr/pp1p1ppp/2n5/2p5/P7/2PP4/1N1NPPPP/R2QKB1R b KQkq - 0 9,d7d5
r1b1k1nr/pp3ppp/2n5/2pp4/P7/2PP1N2/1N2PPPP/R2QKB1R b KQkq - 1 10,c5c4
r1b1k1nr/pp3ppp/2n5/3p4/P1P5/2P2N2/1N2PPPP/R2QKB1R b KQkq - 0 11,d5c4
r1b1k1nr/pp3ppp/2n5/8/P1N5/2P2N2/4PPPP/R2QKB1R b KQkq - 0 12,b7b6
r1b1k1nr/p4ppp/1pn5/8/P1N1P3/2P2N2/5PPP/R2QKB1R b KQkq - 0 13,c6b4
r1b1k1nr/p4ppp/1p6/8/PPN1P3/5N2/5PPP/R2QKB1R b KQkq - 0 14,a7a5
r1b1k1nr/5ppp/1p6/p7/PPN1P3/5N2/3Q1PPP/R3KB1R b KQkq - 1 15,a5b4
r1b1k1nr/5ppp/1p6/8/PpN1P3/5N2/3Q1PPP/3RKB1R b Kkq - 1 16,g8f6
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,f1b5
rnbq1bnr/ppppkppp/8/1B2p3/4P3/8/PPPP1PPP/RNBQK1NR w KQ - 2 3,d2d3
rnbq1bnr/p1ppkppp/1p6/1B2p3/4P3/3P4/PPP2PPP/RNBQK1NR w KQ - 0 4,c1g5
rnbqkbnr/p1pp1ppp/1p6/1B2p1B1/4P3/3P4/PPP2PPP/RN1QK1NR w KQ - 2 5,d1g4
rnbqkbnr/p2p1ppp/1pp5/1B2p1B1/4P1Q1/3P4/PPP2PPP/RN2K1NR w KQ - 0 6,b5a4
rnbqkbnr/p2p1ppp/1p6/2p1p1B1/B3P1Q1/3P4/PPP2PPP/RN2K1NR w KQ - 0 7,g4f5
rnbqkbnr/p2p1ppp/8/1pp1pQB1/B3P3/3P4/PPP2PPP/RN2K1NR w KQ - 0 8,a4b5
rn1qkbnr/pb1p1ppp/8/1Bp1pQB1/4P3/3P4/PPP2PPP/RN2K1NR w KQ - 1 9,f5e5
rn2kbnr/pb1pqppp/8/1Bp1Q1B1/4P3/3P4/PPP2PPP/RN2K1NR w KQ - 1 10,g5e7
rn2k1nr/pb1pbppp/8/1Bp1Q3/4P3/3P4/PPP2PPP/RN2K1NR w KQ - 0 11,b1c3
rn3knr/pb1pbppp/8/1Bp1Q3/4P3/2NP4/PPP2PPP/R3K1NR w KQ - 2 12,g1h3
rn3knr/pb1p1ppp/3b4/1Bp1Q3/4P3/2NP3N/PPP2PPP/R3K2R w KQ - 4 13,e5d6
rn2k1nr/pb1p1ppp/3Q4/1Bp5/4P3/2NP3N/PPP2PPP/R3K2R w KQ - 1 14,d3d4
r3k1nr/pb1p1ppp/2nQ4/1Bp5/3PP3/2N4N/PPP2PPP/R3K2R w KQ - 1 15,d4c5
r3k1nr/1b1p1ppp/2nQ4/pBP5/4P3/2N4N/PPP2PPP/R3K2R w KQ - 0 16,a1d1
r1b1k1nr/3p1ppp/2nQ4/pBP5/4P3/2N4N/PPP2PPP/3RK2R w K - 2 17,c3a4
r1b1k2r/3p1ppp/2nQ1n2/pBP5/N3P3/7N/PPP2PPP/3RK2R w K - 4 18,a4b6
r1b1k2r/3p1p1p/1NnQ1n2/pBP3p1/4P3/7N/PPP2PPP/3RK2R w K - 0 19,b6c8
r1N1k2r/3p1p2/2nQ1n2/pBP3pp/4P3/7N/PPP2PPP/3RK2R w K - 0 20,c8b6
r3k2r/3p1p2/1NnQ1n2/pBP4p/4P1p1/7N/PPP2PPP/3RK2R w K - 0 21,h3f4
r3k2r/3p1p2/1NnQ4/pBP4p/4nNp1/8/PPP2PPP/3RK2R w K - 0 22,b6a8
N2k3r/3p1p2/2nQ4/pBP4p/4nNp1/8/PPP2PPP/3RK2R w K - 1 23,d6d7
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,b8c6
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/3P1P2/PPP3PP/RNBQKBNR b KQkq - 0 3,g8f6
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P1P3/3P1P2/PP4PP/RNBQKBNR b KQkq - 0 4,f6h5
r1bqkb1r/pppp1ppp/2n5/4p2n/2P1P2P/3P1P2/PP4P1/RNBQKBNR b KQkq - 0 5,h5f4
r1bqkb1r/pppp1ppp/2n5/4p3/P1P1Pn1P/3P1P2/1P4P1/RNBQKBNR b KQkq - 0 6,d7d5
r1bqkb1r/ppp2ppp/2n5/3pp3/P1P1Pn1P/3P1PP1/1P6/RNBQKBNR b KQkq - 0 7,f4e6
r1bqkb1r/ppp2ppp/2n1n3/3pp3/P1P1P2P/1P1P1PP1/8/RNBQKBNR b KQkq - 0 8,d5e4
